Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MToyODIxNjUyODQyMzk5MTA3OjE2NzU0NDU2Nzc6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/sspa/click?ie=UTF8&spc=MToyODIxNjUyODQyMzk5MTA3OjE2NzU0NDU2Nzc6c3BfYXRmX25leHQ6MjAxMDc1NjMwNTA5OTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,424","7,644","7,644"
/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-19,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,675,675
/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-20,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,512,"4,862","4,862"
/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-21,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",299,"7,634","7,634"
/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-22,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,247","4,881","4,881"
/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-23,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"2,239",366,366
/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-24,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","1,399","6,808","6,808"
/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675445677&sprefix=ba%2Caps%2C283&sr=8-25,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags",599,706,706
