Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo2MTE4MTMwNzU3ODgwMTU5OjE2NzU0NDU2OTg6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445698%26sprefix%3Dba%252Caps%252C283%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,3.9,"(14,913)"
/sspa/click?ie=UTF8&spc=MTo2MTE4MTMwNzU3ODgwMTU5OjE2NzU0NDU2OTg6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445698%26sprefix%3Dba%252Caps%252C283%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",3.9,(684)
/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-227,"Nivia 5227 Pulse Junior Bag, Others (Orange) (ORNAGE)",369,3.7,(139)
/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-228,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,299,3.8,"(2,236)"
/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-229,"Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","1,859",1.0,(1)
/Dottie-Casual-Backpacks-Resistant-Lightweight/dp/B097JJPQ2K/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-230,"Genie Dottie Casual Backpacks for Women, 18 Ltrs, Water Resistant and Lightweight, Navy Blue, M",799,4.2,(148)
/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTCZ4N/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-231,Tabelito® Basic Laptop Bag Sleeve Case Cover Pouch for 15.6 Inch(39.6cm) Laptop Apple / Dell / Lenovo / Asus / Hp / Samsung / Mi / MacBook / Ultrabook / Thinkpad / Ideapad / Surfacepro (Blue),449,4.2,"(1,822)"
/Handbag-Leather-Capacity-Commuter-Shoulder/dp/B0B2QYWH2Q/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-232,"PALAY® Hobo Bags for Women Handbag Soft Vegan Leather Tote Bag for Travel Large Capacity Commuter Bag, Shoulder Bag with Purse Gift for Ladies","1,621",3.9,(14)
/Lavie-Womens-Ushawu-Satchel-Handbag/dp/B0B3JBRB6J/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-233,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,206",4.1,"(5,474)"
/Terminator-Unisex-Laptop-Backpack-School/dp/B0BSV5ZYGC/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-234,Terminator Large 55 L Unisex Laptop Backpack For School/Office/Travel/Casual and Fits Upto 17 Inch Laptop,699,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo2MTE4MTMwNzU3ODgwMTU5OjE2NzU0NDU2OTg6c3BfbXRmOjIwMDk3NjEyMjMyMDk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_235_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445698%26sprefix%3Dba%252Caps%252C283%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,350",4.2,(108)
/sspa/click?ie=UTF8&spc=MTo2MTE4MTMwNzU3ODgwMTU5OjE2NzU0NDU2OTg6c3BfbXRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_236_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445698%26sprefix%3Dba%252Caps%252C283%26sr%3D8-236-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196",4.2,"(2,166)"
/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08T96KXTF/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-237,"Golden Wolf Laptop Bag Business Anti-theft Backpack with Lock, Water Resistant College School Laptop Backpack with Rain Cover and USB Port Earphone Port, Backpack for 15.6-inch Laptop 25 L Travel Bag for Women and Men Gifts, Light Grey","1,946",4.4,"(3,188)"
/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D2ZFX/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-238,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"1,181",4.2,"(1,348)"
/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_239?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-239,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",579,3.9,"(17,259)"
/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_240?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-240,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,799,4.2,"(1,413)"
/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_241?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-241,"AirCase Laptop Messenger Bag Case Cover Pouch for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men & Women","1,199",3.8,(628)
/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1675445698&sprefix=ba%2Caps%2C283&sr=8-242,Martucci Large 35 L Backpack Spacy Unisex /College/School/Travel Backpack with Rain Cover and Reflective Strip,765,4.0,(937)
