Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_257_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjQyOTg6OjA6Og&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_258_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,"1,298",10,10
/Fristo-FRB-315-Red-Women-Handbag/dp/B07MNRTDK5/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-259,Fristo Women's Handbag (FRB-315_Red),498,"5,541","5,541"
/Wildcraft-Typo_Blk-Casual-Backpack-11619-Typo_Blk/dp/B079MBFH5V/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-260,Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),"1,298",340,340
/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09NGNYLKF/ref=sr_1_261?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-261,"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag ,office bag for Men and Women | College Bags for Girls & Boys ( Zyden )",679,378,378
/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_262?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-262,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",938,337,337
/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-263,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",647.,"1,000","1,000"
/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-264,"POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",549,"6,047","6,047"
/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-265,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,649,302,302
/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-266,GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"1,499","1,296","1,296"
/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfbXRmOjIwMTEwMDgyMjQxNjk4OjowOjo&url=%2Fbg1905-Capacity-Laptop-Travelling-Backpack%2Fdp%2FB082MKHDJ1%2Fref%3Dsr_1_267_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"2,999",60,60
/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfbXRmOjIwMDk3NjEyMjMyMDk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_268_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,350",108,108
