,Product_Url,Product_Name,Price,Rating,Review
364,/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1675445699&sprefix=ba%2Caps%2C283&sr=8-259,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,"1,181","1,348","1,348"
365,/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1675445699&sprefix=ba%2Caps%2C283&sr=8-260,COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment,"1,113",380,380
366,/sspa/click?ie=UTF8&spc=MTo3MzY4MzQ1OTQ2NTYxOTU1OjE2NzU0NDU2OTk6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_261_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445699%26sprefix%3Dba%252Caps%252C283%26sr%3D8-261-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196","2,166","2,166"
367,/sspa/click?ie=UTF8&spc=MTo3MzY4MzQ1OTQ2NTYxOTU1OjE2NzU0NDU2OTk6c3BfYnRmOjIwMTE1MTA0OTA4MTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Happy-Green%2Fdp%2FB08SW9W2FY%2Fref%3Dsr_1_262_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445699%26sprefix%3Dba%252Caps%252C283%26sr%3D8-262-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,890",147,147
368,,,,,
369,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_257_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
370,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjQyOTg6OjA6Og&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_258_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,"1,298",10,10
371,/Fristo-FRB-315-Red-Women-Handbag/dp/B07MNRTDK5/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-259,Fristo Women's Handbag (FRB-315_Red),498,"5,541","5,541"
372,/Wildcraft-Typo_Blk-Casual-Backpack-11619-Typo_Blk/dp/B079MBFH5V/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-260,Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),"1,298",340,340
373,/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09NGNYLKF/ref=sr_1_261?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-261,"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag ,office bag for Men and Women | College Bags for Girls & Boys ( Zyden )",679,378,378
374,/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_262?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-262,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",938,337,337
375,/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-263,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",647,"1,000","1,000"
376,/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-264,"POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",549,"6,047","6,047"
377,/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-265,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,649,302,302
378,/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-266,GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"1,499","1,296","1,296"
379,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfbXRmOjIwMTEwMDgyMjQxNjk4OjowOjo&url=%2Fbg1905-Capacity-Laptop-Travelling-Backpack%2Fdp%2FB082MKHDJ1%2Fref%3Dsr_1_267_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"2,999",60,60
380,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfbXRmOjIwMDk3NjEyMjMyMDk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_268_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,350",108,108
381,/SHW-SOLAR-COMPARTMENT-ADJUSTABLE-COMPARTMENTS/dp/B09NFSC3RP/ref=sr_1_269?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-269,SHW SOLAR BLACK LAPTOP BAG with PADDED LAPTOP COMPARTMENT suitable for 15.6 inch LAPTOP II ADJUSTABLE STRAPSII WATER BOTTLE POCKETII TWO COMPARTMENTS,349,104,104
382,/American-Tourister-27O-70-003/dp/B073XL19QZ/ref=sr_1_270?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-270,American Tourister Jamaica 80CM Wine RED Soft Suitcase,"4,799","5,236","5,236"
383,/Crafts-My-Dream-Womens-CMD2904/dp/B0100BD0IW/ref=sr_1_271?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-271,CRAFTS MY DREAM Women's Cross Body (Multicolor) Rose casual sling Bag,299,"1,447","1,447"
384,/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3VDBV5/ref=sr_1_272?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-272,ADISA Light Weight Laptop Backpack 32 Ltrs,499,"5,549","5,549"
385,/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_273?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-273,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,999,"3,058","3,058"
386,/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_274?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-274,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),379,"1,398","1,398"
387,/Priority-Disney-Princess-Casual-Backpack/dp/B0849PHNG1/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-275,Priority Disney Snow White 20 litres Pink Polyester Kids School Bag | Casual Backpack for Girls (25156),349,"6,689","6,689"
388,/FloMotif-Business-Shoulder-material-resistant/dp/B07NHYLTY7/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1675445701&sprefix=ba%2Caps%2C283&sr=8-276,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - FloMotif,"1,699","1,694","1,694"
