Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTozMjEzMzg3ODM4MDk1MTA1OjE2NzU0NDU2Nzg6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445678%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/sspa/click?ie=UTF8&spc=MTozMjEzMzg3ODM4MDk1MTA1OjE2NzU0NDU2Nzg6c3BfYXRmX25leHQ6MjAxMDc1NjMwNTA5OTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445678%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,424","7,644","7,644"
/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-35,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,099","16,291","16,291"
/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-36,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,799,"10,540","10,540"
/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-37,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,049","5,330","5,330"
/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-38,"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",308,516,516
/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-39,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,"17,776","17,776"
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-40,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",689,"2,697","2,697"
/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-41,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty",549,"8,346","8,346"
/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1675445678&sprefix=ba%2Caps%2C283&sr=8-42,Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),539,"15,924","15,924"
