Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MToxOTk1MjkwMDc5NDg0MzMzOjE2NzU0NDU2OTE6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_161_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445691%26sprefix%3Dba%252Caps%252C283%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",3.9,(684)
/sspa/click?ie=UTF8&spc=MToxOTk1MjkwMDc5NDg0MzMzOjE2NzU0NDU2OTE6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_162_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445691%26sprefix%3Dba%252Caps%252C283%26sr%3D8-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,3.9,"(14,913)"
/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-163,Baggit Women's PEPSI Sling Bag,528,4.4,"(1,927)"
/Red-Lemon-Backpack-Multifunctional-Charcoal/dp/B0BGSV19KZ/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-164,Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,"1,899",4.4,(429)
/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_165?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-165,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,999,4.4,"(2,270)"
/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KS97LZH/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-166,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299,4.5,(257)
/DZert-Panda-School-Backpacks-Cartoon/dp/B07Y2BFJ1B/ref=sr_1_167?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-167,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239,3.7,"(10,957)"
/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_168?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-168,LL LEATHER LAND DESIGNER BAGS Sling Bag_SLG_90,299,4.0,"(1,548)"
/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_169?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-169,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",999,4.0,(962)
/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD/ref=sr_1_170?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-170,wooum Water Resisitance Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Blue,328,4.0,(575)
/sspa/click?ie=UTF8&spc=MToxOTk1MjkwMDc5NDg0MzMzOjE2NzU0NDU2OTE6c3BfbXRmOjIwMTEwMDgyMjQwOTk4OjowOjo&url=%2FUltrafit-15-6-inch-Backpacks-Travelling-Backpack-Black%2Fdp%2FB082Y7TZ8Z%2Fref%3Dsr_1_171_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445691%26sprefix%3Dba%252Caps%252C283%26sr%3D8-171-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Red Lemon Titan Ultrafit Bange 55L Capacity 15.6-inch Laptop Bags Backpacks for Men and Women Outdoor and Camping Bags 3in1 Office Bags, Travel Travelling Backpack, Hiking Backpack Day Backpack-Black","3,799",4.5,(258)
/sspa/click?ie=UTF8&spc=MToxOTk1MjkwMDc5NDg0MzMzOjE2NzU0NDU2OTE6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_172_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445691%26sprefix%3Dba%252Caps%252C283%26sr%3D8-172-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,"1,298",3.5,(10)
/Kuber-Industries-Transparent-Resistant-Handle-Set/dp/B08WK5QJ5D/ref=sr_1_173?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-173,Kuber Industries Travel Toiletry Bag|Undergarments Organizer Bag|Makeup Bags|Transparent Shaving Bag for Men|Water Resistant with Zipper and Handle|Set of 2 (Cream),174,4.0,(40)
/Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT/ref=sr_1_174?crid=2M096C61O4MLT&keywords=bags&qid=1675445691&sprefix=ba%2Caps%2C283&sr=8-174,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG0104_Black),539,4.3,"(1,860)"
