Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo3NjAwNDM4MDQ4MzgzNDI2OjE2NzU0NDU2ODc6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_113_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445687%26sprefix%3Dba%252Caps%252C283%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/sspa/click?ie=UTF8&spc=MTo3NjAwNDM4MDQ4MzgzNDI2OjE2NzU0NDU2ODc6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_114_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445687%26sprefix%3Dba%252Caps%252C283%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,"14,913","14,913"
/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-115,Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),599,5,5
/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-116,ASTRID Women's 17'' Black and White Textured Laptop Bag With Accessory Pouch,999,56,56
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-117,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,378,216,216
/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-118,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,"1,139",794,794
/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9/ref=sr_1_119?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-119,"Pigeon Breast Milk Storage Bag,Secure Seal & easy Storage,Hygienic Breast Milk Storage,Leak Proof,Zipper Zeal Breast Milk Storage,5 pcs",115,442,442
/ADISA-SL5013-black-women-girls/dp/B07DVM41CW/ref=sr_1_120?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-120,ADISA Women's Sling Bag,495,"2,083","2,083"
/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_121?crid=2M096C61O4MLT&keywords=bags&qid=1675445687&sprefix=ba%2Caps%2C283&sr=8-121,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",449,"1,215","1,215"
