Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo4Mjk3OTUzNDQ4NTkyNzk4OjE2NzU0NDU3MDU6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_289_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445705%26sprefix%3Dba%252Caps%252C283%26sr%3D8-289-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/sspa/click?ie=UTF8&spc=MTo4Mjk3OTUzNDQ4NTkyNzk4OjE2NzU0NDU3MDU6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_290_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445705%26sprefix%3Dba%252Caps%252C283%26sr%3D8-290-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,"14,913","14,913"
/Lino-Perros-Womens-Sling-Black/dp/B07GLL393H/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-291,Lino Perros Colored Sling bag (BEIGE),599,196,196
/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VFZP9C/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-292,"Kuber Industries Women's Handcrafted Embroidered Clutch Bag (Grey, CTKTC034517)",345.,255,255
/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_293?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-293,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,198,979,979
/Farraige%C2%AE-Silicone-Crossbody-Waterproof-Stationery/dp/B0B4G8W6MQ/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-294,Farraige® Cartoon Soft Silicone Bag Crossbody Shoulder Bag Purse Waterproof Anti Fall Stationery Storage Bag Handbag Sweet Birthday Gift for Children Students Girls,598,19,19
/Wildcraft-Solid-Backpack-Grey-11911/dp/B07N1CM9QS/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-295,Wildcraft 35 Ltrs 18.5 cms Backpack (11911 Grey_Grey),"1,224",157,157
/AirCase-C26-Messenger-Laptop-Shoulder/dp/B07P417566/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-296,"AirCase Laptop Messenger Bag Case Cover Pouch for 13.3-Inch, 14-Inch Laptop Bag for Men & Women (Blue)",949,"2,565","2,565"
/Lino-Perros-Womens-Tote-Multi-Colour/dp/B07JN6TTCK/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1675445705&sprefix=ba%2Caps%2C283&sr=8-297,Lino Perros leatherette Tote Bag,919,484,484
